# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	4744301	145	-							G4Q83_RS00005	486		old_locus_tag=G4Q83_00005
CDS	with_protein	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	4744301	145	-	WP_128420530.1	WP_128420530.1		asparaginase domain-containing protein			G4Q83_RS00005	486	161	
gene	protein_coding	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	224	595	-							G4Q83_RS00010	372		old_locus_tag=G4Q83_00010
CDS	with_protein	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	224	595	-	WP_128420531.1	WP_128420531.1		DUF2069 domain-containing protein			G4Q83_RS00010	372	123	
gene	protein_coding	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	592	1188	-					wrbA		G4Q83_RS00015	597		old_locus_tag=G4Q83_00015
CDS	with_protein	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	592	1188	-	WP_128420532.1	WP_128420532.1		NAD(P)H:quinone oxidoreductase	wrbA		G4Q83_RS00015	597	198	
gene	protein_coding	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	1265	2539	+							G4Q83_RS00020	1275		old_locus_tag=G4Q83_00020
CDS	with_protein	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	1265	2539	+	WP_128420542.1	WP_128420542.1		YihY family inner membrane protein			G4Q83_RS00020	1275	424	
gene	protein_coding	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	2578	3153	+							G4Q83_RS00025	576		old_locus_tag=G4Q83_00025
CDS	with_protein	GCF_014236795.1	Primary Assembly	chromosome		NZ_CP049017.1	2578	3153	+	WP_246432419.1	WP_246432419.1		TlpA family protein disulfide reductase			G4Q83_RS00025	576	191	
