# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4562467	16	-						66886986	ISN38_RS00005	762		old_locus_tag=ISN38_00005
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4562467	16	-	WP_206712236.1	WP_206712236.1		flagellar basal body rod protein FlgF		66886986	ISN38_RS00005	762	253	
gene	pseudogene	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2	1189	-					flgE	66886987	ISN38_RS00010	1188		partial;pseudo;old_locus_tag=ISN38_00010
CDS	without_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2	1189	-				flagellar hook protein FlgE	flgE	66886987	ISN38_RS00010	1188		partial;pseudo
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	1215	1889	-					flgD	66886988	ISN38_RS00015	675		old_locus_tag=ISN38_00015
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	1215	1889	-	WP_004425623.1	WP_004425623.1		flagellar basal body rod modification protein	flgD	66886988	ISN38_RS00015	675	224	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	1933	2340	-					flgC	66886989	ISN38_RS00020	408		old_locus_tag=ISN38_00020
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	1933	2340	-	WP_004425624.1	WP_004425624.1		flagellar basal body rod protein FlgC	flgC	66886989	ISN38_RS00020	408	135	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2343	2747	-					flgB	66886990	ISN38_RS00025	405		old_locus_tag=ISN38_00025
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2343	2747	-	WP_004425627.1	WP_004425627.1		flagellar basal body rod protein FlgB	flgB	66886990	ISN38_RS00025	405	134	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2896	3840	-						66886991	ISN38_RS00030	945		old_locus_tag=ISN38_00030
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	2896	3840	-	WP_004425629.1	WP_004425629.1		chemotaxis protein		66886991	ISN38_RS00030	945	314	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	3957	4601	+					flgA	66886992	ISN38_RS00035	645		old_locus_tag=ISN38_00035
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	3957	4601	+	WP_004425632.1	WP_004425632.1		flagellar basal body P-ring formation protein FlgA	flgA	66886992	ISN38_RS00035	645	214	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4668	4985	+					flgM	66886993	ISN38_RS00040	318		old_locus_tag=ISN38_00040
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4668	4985	+	WP_004425633.1	WP_004425633.1		flagellar biosynthesis anti-sigma factor FlgM	flgM	66886993	ISN38_RS00040	318	105	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4988	5326	+						66886994	ISN38_RS00045	339		old_locus_tag=ISN38_00045
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	4988	5326	+	WP_038231023.1	WP_038231023.1		flagella protein		66886994	ISN38_RS00045	339	112	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	5482	6678	+						66886995	ISN38_RS00050	1197		old_locus_tag=ISN38_00050
CDS	with_protein	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	5482	6678	+	WP_038236955.1	WP_038236955.1		ATP-binding protein		66886995	ISN38_RS00050	1197	398	
gene	protein_coding	GCF_017301775.1	Primary Assembly	chromosome		NZ_CP063993.1	6785	8509	-						66886996	ISN38_RS00055	1725		old_locus_tag=ISN38_00055
