# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	4918444	2174	+					ppsA		FZ025_RS00005	2376		old_locus_tag=FZ025_00005
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	4918444	2174	+	WP_046978381.1	WP_046978381.1		phosphoenolpyruvate synthase	ppsA		FZ025_RS00005	2376	791	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	2280	3224	+							FZ025_RS00010	945		old_locus_tag=FZ025_00010
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	2280	3224	+	WP_046978380.1	WP_046978380.1		mechanosensitive ion channel			FZ025_RS00010	945	314	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	3232	3807	-					orn		FZ025_RS00015	576		old_locus_tag=FZ025_00015
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	3232	3807	-	WP_046978379.1	WP_046978379.1		oligoribonuclease	orn		FZ025_RS00015	576	191	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	3924	4418	-					tadA		FZ025_RS00020	495		old_locus_tag=FZ025_00020
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	3924	4418	-	WP_046978378.1	WP_046978378.1		tRNA adenosine(34) deaminase TadA	tadA		FZ025_RS00020	495	164	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	4415	4879	-					mntR		FZ025_RS00025	465		old_locus_tag=FZ025_00025
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	4415	4879	-	WP_104558314.1	WP_104558314.1		manganese-binding transcriptional regulator MntR	mntR		FZ025_RS00025	465	154	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	5109	6380	+							FZ025_RS00030	1272		old_locus_tag=FZ025_00030
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	5109	6380	+	WP_244292559.1	WP_244292559.1		Nramp family divalent metal transporter			FZ025_RS00030	1272	423	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	6470	8185	-							FZ025_RS00035	1716		old_locus_tag=FZ025_00035
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	6470	8185	-	WP_046979244.1	WP_046979244.1		response regulator			FZ025_RS00035	1716	571	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	8182	9696	-							FZ025_RS00040	1515		old_locus_tag=FZ025_00040
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	8182	9696	-	WP_046979245.1	WP_046979245.1		AAA family ATPase			FZ025_RS00040	1515	504	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	10233	11747	-					pgi		FZ025_RS00045	1515		old_locus_tag=FZ025_00045
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	10233	11747	-	WP_104558316.1	WP_104558316.1		glucose-6-phosphate isomerase	pgi		FZ025_RS00045	1515	504	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	11744	12124	-							FZ025_RS00050	381		old_locus_tag=FZ025_00050
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	11744	12124	-	WP_046979247.1	WP_046979247.1		aspartate 1-decarboxylase			FZ025_RS00050	381	126	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	12462	13301	-					panC		FZ025_RS00055	840		old_locus_tag=FZ025_00055
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	12462	13301	-	WP_046979248.1	WP_046979248.1		pantoate--beta-alanine ligase	panC		FZ025_RS00055	840	279	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	13298	14116	-					panB		FZ025_RS00060	819		old_locus_tag=FZ025_00060
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	13298	14116	-	WP_046979249.1	WP_046979249.1		3-methyl-2-oxobutanoate hydroxymethyltransferase	panB		FZ025_RS00060	819	272	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	14148	14660	-					folK		FZ025_RS00065	513		old_locus_tag=FZ025_00065
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	14148	14660	-	WP_046979250.1	WP_046979250.1		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK		FZ025_RS00065	513	170	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	14657	16021	-					pcnB		FZ025_RS00070	1365		old_locus_tag=FZ025_00070
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	14657	16021	-	WP_104558317.1	WP_104558317.1		polynucleotide adenylyltransferase PcnB	pcnB		FZ025_RS00070	1365	454	
gene	tRNA	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	16104	16178	+							FZ025_RS00075	75		old_locus_tag=FZ025_00075
tRNA		GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	16104	16178	+				tRNA-Glu			FZ025_RS00075	75		anticodon=CTC
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	16338	17504	-							FZ025_RS00080	1167		old_locus_tag=FZ025_00080
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	16338	17504	-	WP_046979252.1	WP_046979252.1		N-acetylmuramoyl-L-alanine amidase			FZ025_RS00080	1167	388	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	17891	19321	-							FZ025_RS00085	1431		old_locus_tag=FZ025_00085
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	17891	19321	-	WP_046979253.1	WP_046979253.1		sugar porter family MFS transporter			FZ025_RS00085	1431	476	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	19416	20756	-					xylA		FZ025_RS00090	1341		old_locus_tag=FZ025_00090
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	19416	20756	-	WP_046979254.1	WP_046979254.1		xylose isomerase	xylA		FZ025_RS00090	1341	446	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	20795	22288	-					xylB		FZ025_RS00095	1494		old_locus_tag=FZ025_00095
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	20795	22288	-	WP_046979255.1	WP_046979255.1		xylulokinase	xylB		FZ025_RS00095	1494	497	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	22285	24687	-							FZ025_RS00100	2403		old_locus_tag=FZ025_00100
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	22285	24687	-	WP_104558318.1	WP_104558318.1		glycoside hydrolase family 95 protein			FZ025_RS00100	2403	800	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	24725	27628	-							FZ025_RS00105	2904		old_locus_tag=FZ025_00105
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	24725	27628	-	WP_046981210.1	WP_046981210.1		DUF5110 domain-containing protein			FZ025_RS00105	2904	967	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	27681	29402	-							FZ025_RS00110	1722		old_locus_tag=FZ025_00110
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	27681	29402	-	WP_104558319.1	WP_104558319.1		DUF5597 domain-containing protein			FZ025_RS00110	1722	573	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	29576	32299	-							FZ025_RS00115	2724		old_locus_tag=FZ025_00115
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	29576	32299	-	WP_046981211.1	WP_046981211.1		TonB-dependent receptor			FZ025_RS00115	2724	907	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	32710	33669	-							FZ025_RS00120	960		old_locus_tag=FZ025_00120
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	32710	33669	-	WP_104558320.1	WP_104558320.1		LysR substrate-binding domain-containing protein			FZ025_RS00120	960	319	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	34002	34622	+							FZ025_RS00125	621		old_locus_tag=FZ025_00125
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	34002	34622	+	WP_104558321.1	WP_104558321.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			FZ025_RS00125	621	206	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	34619	35770	+					dgoD		FZ025_RS00130	1152		old_locus_tag=FZ025_00130
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	34619	35770	+	WP_046980848.1	WP_046980848.1		galactonate dehydratase	dgoD		FZ025_RS00130	1152	383	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	35775	36698	+							FZ025_RS00135	924		old_locus_tag=FZ025_00135
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	35775	36698	+	WP_046980847.1	WP_046980847.1		SMP-30/gluconolactonase/LRE family protein			FZ025_RS00135	924	307	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	36695	37594	+							FZ025_RS00140	900		old_locus_tag=FZ025_00140
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	36695	37594	+	WP_046980846.1	WP_046980846.1		2-dehydro-3-deoxygalactonokinase			FZ025_RS00140	900	299	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	37745	38068	+							FZ025_RS00145	324		old_locus_tag=FZ025_00145
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	37745	38068	+	WP_046980845.1	WP_046980845.1		ferredoxin family protein			FZ025_RS00145	324	107	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	38367	39479	-							FZ025_RS00150	1113		old_locus_tag=FZ025_00150
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	38367	39479	-	WP_046977486.1	WP_046977486.1		prephenate dehydrogenase			FZ025_RS00150	1113	370	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	39476	40384	-					pdxY		FZ025_RS00155	909		old_locus_tag=FZ025_00155
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	39476	40384	-	WP_046977487.1	WP_046977487.1		pyridoxal kinase	pdxY		FZ025_RS00155	909	302	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	40450	40953	-					smpB		FZ025_RS00160	504		old_locus_tag=FZ025_00160
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	40450	40953	-	WP_003467984.1	WP_003467984.1		SsrA-binding protein SmpB	smpB		FZ025_RS00160	504	167	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41015	41446	+							FZ025_RS00165	432		old_locus_tag=FZ025_00165
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41015	41446	+	WP_046977488.1	WP_046977488.1		type II toxin-antitoxin system RatA family toxin			FZ025_RS00165	432	143	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41443	41706	+							FZ025_RS00170	264		old_locus_tag=FZ025_00170
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41443	41706	+	WP_046977489.1	WP_046977489.1		RnfH family protein			FZ025_RS00170	264	87	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41737	42135	-					bamE		FZ025_RS00175	399		old_locus_tag=FZ025_00175
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	41737	42135	-	WP_046977490.1	WP_046977490.1		outer membrane protein assembly factor BamE	bamE		FZ025_RS00175	399	132	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	42239	42661	+					fur		FZ025_RS00180	423		old_locus_tag=FZ025_00180
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	42239	42661	+	WP_046977491.1	WP_046977491.1		ferric iron uptake transcriptional regulator	fur		FZ025_RS00180	423	140	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	42930	44597	-					recN		FZ025_RS00185	1668		old_locus_tag=FZ025_00185
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	42930	44597	-	WP_046977492.1	WP_046977492.1		DNA repair protein RecN	recN		FZ025_RS00185	1668	555	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	44710	45768	+					hrcA		FZ025_RS00190	1059		old_locus_tag=FZ025_00190
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	44710	45768	+	WP_046977493.1	WP_046977493.1		heat-inducible transcriptional repressor HrcA	hrcA		FZ025_RS00190	1059	352	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	45918	46439	+					grpE		FZ025_RS00195	522		old_locus_tag=FZ025_00195
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	45918	46439	+	WP_046977494.1	WP_046977494.1		nucleotide exchange factor GrpE	grpE		FZ025_RS00195	522	173	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	46589	48508	+					dnaK		FZ025_RS00200	1920		old_locus_tag=FZ025_00200
