# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	1	1329	+					dnaA		EBN15_RS00005	1329		old_locus_tag=EBN15_00010
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	1	1329	+	WP_104603302.1	WP_104603302.1		chromosomal replication initiator protein DnaA	dnaA		EBN15_RS00005	1329	442	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	1605	2705	+					dnaN		EBN15_RS00010	1101		old_locus_tag=EBN15_00015
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	1605	2705	+	WP_104603303.1	WP_104603303.1		DNA polymerase III subunit beta	dnaN		EBN15_RS00010	1101	366	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	3516	4622	+					recF		EBN15_RS00015	1107		old_locus_tag=EBN15_00020
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	3516	4622	+	WP_104603357.1	WP_104603357.1		DNA replication/repair protein RecF	recF		EBN15_RS00015	1107	368	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	4736	7180	+					gyrB		EBN15_RS00020	2445		old_locus_tag=EBN15_00025
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	4736	7180	+	WP_104603304.1	WP_104603304.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EBN15_RS00020	2445	814	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	7248	8084	+							EBN15_RS00025	837		old_locus_tag=EBN15_00030
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	7248	8084	+	WP_159406399.1	WP_159406399.1		CPBP family intramembrane metalloprotease			EBN15_RS00025	837	278	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	8290	9096	+							EBN15_RS00030	807		old_locus_tag=EBN15_00035
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	8290	9096	+	WP_104603306.1	WP_104603306.1		M48 family metallopeptidase			EBN15_RS00030	807	268	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	9379	10575	+							EBN15_RS00035	1197		old_locus_tag=EBN15_00040
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	9379	10575	+	WP_159406400.1	WP_159406400.1		tetratricopeptide repeat protein			EBN15_RS00035	1197	398	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	10842	11399	+							EBN15_RS00040	558		old_locus_tag=EBN15_00045
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	10842	11399	+	WP_029218135.1	WP_029218135.1		energy transducer TonB			EBN15_RS00040	558	185	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	11485	12246	+					exbB		EBN15_RS00045	762		old_locus_tag=EBN15_00050
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	11485	12246	+	WP_104603309.1	WP_104603309.1		TonB-system energizer ExbB	exbB		EBN15_RS00045	762	253	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	12293	12715	+							EBN15_RS00050	423		old_locus_tag=EBN15_00055
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	12293	12715	+	WP_010364790.1	WP_010364790.1		biopolymer transporter ExbD			EBN15_RS00050	423	140	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	12719	13132	+							EBN15_RS00055	414		old_locus_tag=EBN15_00060
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	12719	13132	+	WP_104603310.1	WP_104603310.1		biopolymer transporter ExbD			EBN15_RS00055	414	137	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	13290	14057	-							EBN15_RS00060	768		old_locus_tag=EBN15_00065
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	13290	14057	-	WP_104603311.1	WP_104603311.1		pyridoxine 5'-phosphate synthase			EBN15_RS00060	768	255	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	14066	14335	-							EBN15_RS00065	270		old_locus_tag=EBN15_00070
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	14066	14335	-	WP_104603312.1	WP_104603312.1		hypothetical protein			EBN15_RS00065	270	89	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	14548	16008	-					cls		EBN15_RS00070	1461		old_locus_tag=EBN15_00075
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	14548	16008	-	WP_104603313.1	WP_104603313.1		cardiolipin synthase	cls		EBN15_RS00070	1461	486	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	16144	17238	+							EBN15_RS00075	1095		old_locus_tag=EBN15_00080
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	16144	17238	+	WP_104603358.1	WP_104603358.1		PA0069 family radical SAM protein			EBN15_RS00075	1095	364	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	17486	18187	-							EBN15_RS00080	702		old_locus_tag=EBN15_00085
