# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	1	1329	+					dnaA		H7A86_RS00005	1329		old_locus_tag=XSP_000001
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	1	1329	+	WP_024939149.1	WP_024939149.1		chromosomal replication initiator protein DnaA	dnaA		H7A86_RS00005	1329	442	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	1606	2706	+					dnaN		H7A86_RS00010	1101		old_locus_tag=XSP_000002
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	1606	2706	+	WP_104650390.1	WP_104650390.1		DNA polymerase III subunit beta	dnaN		H7A86_RS00010	1101	366	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	3793	4899	+					recF		H7A86_RS00015	1107		old_locus_tag=XSP_000003
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	3793	4899	+	WP_104586351.1	WP_104586351.1		DNA replication/repair protein RecF	recF		H7A86_RS00015	1107	368	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	5014	7458	+					gyrB		H7A86_RS00020	2445		old_locus_tag=XSP_000004
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	5014	7458	+	WP_119130011.1	WP_119130011.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		H7A86_RS00020	2445	814	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	7526	8362	+							H7A86_RS00025	837		old_locus_tag=XSP_000005
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	7526	8362	+	WP_119130012.1	WP_119130012.1		CPBP family intramembrane metalloprotease			H7A86_RS00025	837	278	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	8425	9231	+							H7A86_RS00030	807		old_locus_tag=XSP_000006
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	8425	9231	+	WP_104586348.1	WP_104586348.1		M48 family metallopeptidase			H7A86_RS00030	807	268	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	9384	10580	+							H7A86_RS00035	1197		old_locus_tag=XSP_000007
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	9384	10580	+	WP_119130013.1	WP_119130013.1		tetratricopeptide repeat protein			H7A86_RS00035	1197	398	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	10848	11405	+							H7A86_RS00040	558		old_locus_tag=XSP_000008
CDS	with_protein	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	10848	11405	+	WP_016901836.1	WP_016901836.1		energy transducer TonB			H7A86_RS00040	558	185	
gene	protein_coding	GCF_903989455.1	Primary Assembly	chromosome		NZ_LR861803.1	11491	12255	+					exbB		H7A86_RS00045	765		old_locus_tag=XSP_000009
